2015-05-06 17:09:14,536 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 61 
2015-05-06 17:09:14,536 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 61 
2015-05-06 17:09:14,536 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 61 
2015-05-06 17:09:14,536 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 61 
2015-05-06 17:09:14,537 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 60 
2015-05-06 17:09:14,537 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 60 
2015-05-06 17:09:14,537 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 60 
2015-05-06 17:09:14,537 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 60 
2015-05-06 17:09:14,538 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 59 
2015-05-06 17:09:14,538 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 59 
2015-05-06 17:09:14,538 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 59 
2015-05-06 17:09:14,538 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 59 
2015-05-06 17:09:14,539 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 58 
2015-05-06 17:09:14,539 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 58 
2015-05-06 17:09:14,539 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 58 
2015-05-06 17:09:14,539 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 58 
2015-05-06 17:09:14,540 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 57 
2015-05-06 17:09:14,540 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 57 
2015-05-06 17:09:14,540 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 57 
2015-05-06 17:09:14,540 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 57 
2015-05-06 17:09:14,541 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 56 
2015-05-06 17:09:14,541 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 56 
2015-05-06 17:09:14,541 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 56 
2015-05-06 17:09:14,541 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 56 
2015-05-06 17:09:14,542 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 55 
2015-05-06 17:09:14,542 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 55 
2015-05-06 17:09:14,542 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 55 
2015-05-06 17:09:14,542 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 55 
2015-05-06 17:09:14,543 DEBUG c.b.t.t.r.RunnableDemo [Thread-4] Thread: Thread-4, 54 
2015-05-06 17:09:14,543 DEBUG c.b.t.t.r.RunnableDemo [Thread-3] Thread: Thread-3, 54 
2015-05-06 17:09:14,543 DEBUG c.b.t.t.r.RunnableDemo [Thread-2] Thread: Thread-2, 54 
2015-05-06 17:09:14,543 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 54 
2015-05-06 17:09:14,544 DEBUG c.b.t.t.r.RunnableDemo [Thread-1] Thread: Thread-1, 53 
